sku,name,class,doses,on_hand,price_usd,hidden,reorder_at,video_url,video_title,video_description,video_thumbnail
VSR-LE-BAL-220,Analytical Balance — 0.1 mg Readability,Precision Instrument,,,2450,FALSE,,,,,
VSR-LE-CEN-024,Microcentrifuge — 24-Place,Centrifuge,,,4890,FALSE,,,,,
VSR-LE-PHM-001,pH Meter — Benchtop,Measurement,,,585,FALSE,,,,,
VSR-LE-PIP-SET,Micropipette Set — 10 / 100 / 1000 μL,Liquid Handling,,,745,FALSE,,,,,
VSR-LE-VTX-001,Vortex Mixer — Variable Speed,Sample Prep,,,325,FALSE,,,,,
VSR-RS-10AD,AOD-9604 — 10mg,metabolic-cofactor,10mg,,,FALSE,,,,,
VSR-RS-10AM,10-Amino-1mq — 10mg,metabolic-cofactor,10mg,,,FALSE,,,,,
VSR-RS-10MQ,10-Amino-1MQ,NNMT Inhibitor,10mg,,,FALSE,,,,,
VSR-RS-2AD,AOD-9604 — 2mg,metabolic-cofactor,2mg,,,FALSE,,,,,
VSR-RS-2S10,SS-31 — 10mg,metabolic-cofactor,10mg,,,FALSE,,,,,
VSR-RS-2S50,SS-31 — 50mg,metabolic-cofactor,50mg,,,FALSE,,,,,
VSR-RS-375,LL-37 — 5mg,immunomodulatory,5mg,,,FALSE,,,,,
VSR-RS-5AD,AOD-9604 — 5mg,metabolic-cofactor,5mg,,,FALSE,,,,,
VSR-RS-5AM,5-Amino-1mq — 5mg,metabolic-cofactor,5mg,,,FALSE,,,,,
VSR-RS-5AMQ,5-Amino-1MQ,NNMT Inhibitor,5mg,,,FALSE,,,,,
VSR-RS-A290,ARA-290,Tissue-Protective Peptide,10mg,,,FALSE,,,,,
VSR-RS-ADP,Adipotide,Pro-Apoptotic Peptide,2mg / 5mg,,,FALSE,,,,,
VSR-RS-AICAR,AICAR — 50mg,metabolic-cofactor,50mg,,,FALSE,,,,,
VSR-RS-AICR,AICAR,AMPK Activator,50mg,,,FALSE,,,,,
VSR-RS-AOD-005,AOD-9604 — 5mg,Metabolic Peptide,2mg / 5mg / 10mg,,,FALSE,,,,,
VSR-RS-AP2,Adipotide — 2mg,experimental,2mg,,,FALSE,,,,,
VSR-RS-AP5,Adipotide — 5mg,experimental,5mg,,,FALSE,,,,,
VSR-RS-AR50,AICAR — 50mg,metabolic-cofactor,50mg,,,FALSE,,,,,
VSR-RS-BAC-030,Bacteriostatic Water — 30 mL,Solvent,10 mL / 30 mL,,12,FALSE,,,,,
